event,type,extras,date,calendar_system
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2018-08-17,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2018-08-22,islamic
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2018-08-24,other
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2018-08-26,hindu_lunar
Janmashtami *Smarta,Religional Festival,"Bhadrapada, Krishna Ashtami",2018-09-02,hindu_lunar
Janmashtami *ISKCON,Religional Festival,"Bhadrapada, Krishna Ashtami",2018-09-03,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2018-09-05,gregorian_fixed
Islamic New Year,Religional Festival,based on Islamic calendar,2018-09-12,islamic
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2018-09-13,hindu_lunar
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2018-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2018-09-15,gregorian_fixed
Muharram,Religional Festival,based on Islamic calendar,2018-09-21,islamic
Autumnal Equinox,Religional Festival,Astronomy Event,2018-09-23,astronomy
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2018-10-02,gregorian_fixed
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2018-10-10,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2018-10-17,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2018-10-19,hindu_lunar
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2018-10-24,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2018-10-27,hindu_lunar
Narak Chaturdashi,Religional Festival,"Kartika, Krishna Chaturdashi",2018-11-06,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2018-11-07,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2018-11-08,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2018-11-09,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2018-11-13,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2018-11-14,gregorian_fixed
Eid-e-Milad,Religional Festival,based on Islamic calendar,2018-11-21,islamic
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2018-11-23,hindu_lunar
World AIDS Day,Good to know,fixed day in Gregorian calendar,2018-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2018-12-22,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2018-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2019-01-01,gregorian_fixed
National Youth Day,Good to know,fixed day in Gregorian calendar,2019-01-12,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2019-01-13,hindu_lunar
Lohri,Religional Festival,day before Makara Sankranti,2019-01-14,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2019-01-15,other
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2019-01-17,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2019-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2019-01-26,gregorian_fixed
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2019-01-27,hindu_lunar
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2019-01-30,gregorian_fixed
World Cancer Day,Good to know,fixed day in Gregorian calendar,2019-02-04,gregorian_fixed
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2019-02-09,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2019-02-14,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2019-02-19,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2019-02-28,hindu_lunar
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2019-03-04,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2019-03-08,gregorian_fixed
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2019-03-20,islamic
Parsi New Year,Religional Festival,based on Parsi calendar,2019-03-21,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2019-03-23,gregorian_fixed
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2019-04-01,gregorian_fixed
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2019-04-06,hindu_lunar
Rama Navami *Smarta,Religional Festival,"Chaitra, Shukla Navami",2019-04-13,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2019-04-14,other
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2019-04-17,hindu_lunar
Good Friday,Religional Festival,based on Christian calendar,2019-04-19,other
Easter,Religional Festival,based on Christian calendar,2019-04-21,other
Earth Day,Good to know,fixed day in Gregorian calendar,2019-04-22,gregorian_fixed
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2019-04-30,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2019-05-01,gregorian_fixed
World Laughter Day,Good to know,1st Sunday of May,2019-05-05,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2019-05-07,gregorian_fixed
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2019-05-09,hindu_lunar
Mother's Day,Good to know,2nd Sunday of May,2019-05-12,other
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2019-05-18,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2019-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2019-06-05,gregorian_fixed
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2019-06-06,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2019-06-16,other
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2019-06-17,hindu_lunar
International Yoga Day,Good to know,fixed day in Gregorian calendar,2019-06-21,gregorian_fixed
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2019-07-04,hindu_lunar
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2019-07-16,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2019-08-04,other
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2019-08-07,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2019-08-12,islamic
Independence Day,Government Holiday,fixed day in Gregorian calendar,2019-08-15,gregorian_fixed
Krishna Janmashtami,Religional Festival,"Bhadrapada, Krishna Ashtami",2019-08-24,hindu_lunar
Islamic New Year,Religional Festival,based on Islamic calendar,2019-09-01,islamic
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2019-09-02,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2019-09-05,gregorian_fixed
Muharram,Religional Festival,based on Islamic calendar,2019-09-10,islamic
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2019-09-11,other
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2019-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2019-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2019-09-23,astronomy
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2019-09-29,hindu_lunar
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2019-10-02,gregorian_fixed
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2019-10-06,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2019-10-08,hindu_lunar
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2019-10-13,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2019-10-17,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2019-10-27,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2019-10-28,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2019-10-29,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2019-11-02,hindu_lunar
Eid-e-Milad,Religional Festival,based on Islamic calendar,2019-11-10,islamic
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2019-11-12,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2019-11-14,gregorian_fixed
World AIDS Day,Good to know,fixed day in Gregorian calendar,2019-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2019-12-22,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2019-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2020-01-01,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2020-01-02,hindu_lunar
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2020-01-06,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2020-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2020-01-14,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2020-01-15,other
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2020-01-17,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2020-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2020-01-26,gregorian_fixed
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2020-01-29,hindu_lunar
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2020-01-30,gregorian_fixed
World Cancer Day,Good to know,fixed day in Gregorian calendar,2020-02-04,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2020-02-09,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2020-02-14,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2020-02-18,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2020-02-19,gregorian_fixed
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2020-02-21,hindu_lunar
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2020-02-25,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2020-03-08,gregorian_fixed
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2020-03-09,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2020-03-10,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2020-03-12,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2020-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2020-03-23,gregorian_fixed
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2020-03-25,hindu_lunar
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2020-04-01,gregorian_fixed
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2020-04-02,hindu_lunar
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2020-04-06,hindu_lunar
Good Friday,Religional Festival,based on Christian calendar,2020-04-10,other
Easter,Religional Festival,based on Christian calendar,2020-04-12,other
Baisakhi,Religional Festival,observed on Mesha Sankranti,2020-04-13,other
Ambedkar Jayanti,Government Holiday,fixed day in Gregorian calendar,2020-04-14,gregorian_fixed
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2020-04-18,hindu_lunar
Earth Day,Good to know,fixed day in Gregorian calendar,2020-04-22,gregorian_fixed
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2020-04-28,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2020-05-01,gregorian_fixed
World Laughter Day,Good to know,1st Sunday of May,2020-05-03,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2020-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2020-05-10,other
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2020-05-22,islamic
Ramadan,Religional Festival,based on Islamic calendar,2020-05-24,islamic
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2020-05-25,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2020-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2020-06-05,gregorian_fixed
International Yoga Day,Good to know,fixed day in Gregorian calendar,2020-06-21,gregorian_fixed
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2020-06-23,hindu_lunar
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2020-07-05,hindu_lunar
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2020-07-27,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2020-07-31,islamic
Friendship Day,Good to know,1st Sunday of August,2020-08-02,other
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2020-08-03,hindu_lunar
Janmashtami *Smarta,Religional Festival,"Bhadrapada, Krishna Ashtami",2020-08-11,hindu_lunar
Janmashtami *ISKCON,Religional Festival,"Bhadrapada, Krishna Ashtami",2020-08-12,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2020-08-15,gregorian_fixed
Islamic New Year,Religional Festival,based on Islamic calendar,2020-08-20,islamic
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2020-08-22,hindu_lunar
Muharram,Religional Festival,based on Islamic calendar,2020-08-29,islamic
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2020-08-31,other
Teachers' Day,Good to know,fixed day in Gregorian calendar,2020-09-05,gregorian_fixed
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2020-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2020-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2020-09-22,astronomy
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2020-10-02,gregorian_fixed
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2020-10-17,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2020-10-24,hindu_lunar
Dussehra,Religional Festival,"Ashwina, Shukla Dashami",2020-10-25,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2020-10-26,hindu_lunar
Eid-e-Milad,Religional Festival,based on Islamic calendar,2020-10-29,islamic
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2020-10-31,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2020-11-04,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2020-11-14,gregorian_fixed
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2020-11-15,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2020-11-16,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2020-11-20,hindu_lunar
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2020-11-30,hindu_lunar
World AIDS Day,Good to know,fixed day in Gregorian calendar,2020-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2020-12-21,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2020-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2021-01-01,gregorian_fixed
National Youth Day,Good to know,fixed day in Gregorian calendar,2021-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2021-01-13,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2021-01-14,other
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2021-01-20,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2021-01-23,gregorian_fixed
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2021-01-24,hindu_lunar
Republic Day,Government Holiday,fixed day in Gregorian calendar,2021-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2021-01-30,gregorian_fixed
World Cancer Day,Good to know,fixed day in Gregorian calendar,2021-02-04,gregorian_fixed
Valentine's Day,Good to know,fixed day in Gregorian calendar,2021-02-14,gregorian_fixed
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2021-02-16,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2021-02-19,gregorian_fixed
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2021-02-25,islamic
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2021-02-27,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2021-03-08,gregorian_fixed
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2021-03-11,hindu_lunar
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2021-03-15,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2021-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2021-03-23,gregorian_fixed
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2021-03-28,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2021-03-29,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2021-03-31,hindu_lunar
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2021-04-01,gregorian_fixed
Good Friday,Religional Festival,based on Christian calendar,2021-04-02,other
Easter,Religional Festival,based on Christian calendar,2021-04-04,other
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2021-04-13,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2021-04-14,other
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2021-04-21,hindu_lunar
Earth Day,Good to know,fixed day in Gregorian calendar,2021-04-22,gregorian_fixed
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2021-04-25,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2021-05-01,gregorian_fixed
World Laughter Day,Good to know,1st Sunday of May,2021-05-02,other
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2021-05-07,islamic
Mother's Day,Good to know,2nd Sunday of May,2021-05-09,other
Ramadan,Religional Festival,based on Islamic calendar,2021-05-13,islamic
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2021-05-17,hindu_lunar
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2021-05-26,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2021-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2021-06-05,gregorian_fixed
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2021-06-13,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2021-06-20,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2021-06-21,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2021-06-24,hindu_lunar
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2021-07-12,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2021-07-20,islamic
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2021-07-24,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2021-08-01,other
Islamic New Year,Religional Festival,based on Islamic calendar,2021-08-10,islamic
Independence Day,Government Holiday,fixed day in Gregorian calendar,2021-08-15,gregorian_fixed
Muharram,Religional Festival,based on Islamic calendar,2021-08-19,islamic
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2021-08-21,other
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2021-08-22,hindu_lunar
Krishna Janmashtami,Religional Festival,"Bhadrapada, Krishna Ashtami",2021-08-30,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2021-09-05,gregorian_fixed
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2021-09-10,hindu_lunar
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2021-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2021-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2021-09-23,astronomy
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2021-10-02,gregorian_fixed
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2021-10-07,hindu_lunar
Durga Ashtami,Religional Festival,"Ashwina, Shukla Ashtami",2021-10-13,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2021-10-14,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2021-10-15,hindu_lunar
Eid-e-Milad,Religional Festival,based on Islamic calendar,2021-10-19,islamic
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2021-10-20,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2021-10-24,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2021-11-04,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2021-11-05,hindu_lunar
Bhaiya Dooj,Religional Festival,"Kartika, Shukla Dwitiya",2021-11-06,hindu_lunar
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2021-11-10,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2021-11-14,gregorian_fixed
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2021-11-19,hindu_lunar
World AIDS Day,Good to know,fixed day in Gregorian calendar,2021-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2021-12-21,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2021-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2022-01-01,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2022-01-09,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2022-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2022-01-13,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2022-01-14,other
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2022-01-23,gregorian_fixed
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2022-01-25,hindu_lunar
Republic Day,Government Holiday,fixed day in Gregorian calendar,2022-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2022-01-30,gregorian_fixed
World Cancer Day,Good to know,fixed day in Gregorian calendar,2022-02-04,gregorian_fixed
Vasant Panchami,Religional Festival,"Magha, Shukla Panchami",2022-02-05,hindu_lunar
Valentine's Day,Good to know,fixed day in Gregorian calendar,2022-02-14,gregorian_fixed
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2022-02-15,islamic
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2022-02-16,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2022-02-19,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2022-02-26,hindu_lunar
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2022-03-01,hindu_lunar
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2022-03-04,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2022-03-08,gregorian_fixed
Holika Dahan,Religional Festival,"Phalguna, Shukla Purnima",2022-03-17,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2022-03-18,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2022-03-20,parsi
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2022-03-21,hindu_lunar
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2022-03-23,gregorian_fixed
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2022-04-01,gregorian_fixed
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2022-04-02,hindu_lunar
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2022-04-10,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2022-04-14,other
Good Friday,Religional Festival,based on Christian calendar,2022-04-15,other
Easter,Religional Festival,based on Christian calendar,2022-04-17,other
Earth Day,Good to know,fixed day in Gregorian calendar,2022-04-22,gregorian_fixed
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2022-04-26,hindu_lunar
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2022-04-29,islamic
International Workers' Day,Good to know,fixed day in Gregorian calendar,2022-05-01,gregorian_fixed
Ramadan,Religional Festival,based on Islamic calendar,2022-05-03,islamic
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2022-05-06,hindu_lunar
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2022-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2022-05-08,other
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2022-05-16,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2022-05-31,gregorian_fixed
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2022-06-02,hindu_lunar
World Environment Day,Good to know,fixed day in Gregorian calendar,2022-06-05,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2022-06-14,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2022-06-19,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2022-06-21,gregorian_fixed
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2022-07-01,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2022-07-10,islamic
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2022-07-13,hindu_lunar
Islamic New Year,Religional Festival,based on Islamic calendar,2022-07-30,islamic
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2022-08-04,hindu_lunar
Friendship Day,Good to know,1st Sunday of August,2022-08-07,other
Muharram,Religional Festival,based on Islamic calendar,2022-08-08,islamic
Rakhi,Religional Festival,"Shravana, Shukla Purnima",2022-08-11,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2022-08-15,gregorian_fixed
Janmashtami *Smarta,Religional Festival,"Bhadrapada, Krishna Ashtami",2022-08-18,hindu_lunar
Janmashtami *ISKCON,Religional Festival,"Bhadrapada, Krishna Ashtami",2022-08-19,hindu_lunar
