event,type,extras,date,calendar_system
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2012-10-16,hindu_lunar
Durga Ashtami,Religional Festival,"Ashwina, Shukla Ashtami",2012-10-22,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2012-10-23,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2012-10-24,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2012-10-26,islamic
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2012-10-29,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2012-11-02,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2012-11-13,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2012-11-14,gregorian_fixed
Islamic New Year,Religional Festival,based on Islamic calendar,2012-11-15,islamic
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2012-11-19,hindu_lunar
Muharram,Religional Festival,based on Islamic calendar,2012-11-24,islamic
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2012-11-28,hindu_lunar
World AIDS Day,Good to know,fixed day in Gregorian calendar,2012-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2012-12-21,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2012-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2013-01-01,gregorian_fixed
National Youth Day,Good to know,fixed day in Gregorian calendar,2013-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2013-01-13,day_relative
Pongal,Religional Festival,on Makara Sankranti day,2013-01-14,other
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2013-01-18,hindu_lunar
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2013-01-22,hindu_lunar
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2013-01-23,gregorian_fixed
Eid-e-Milad,Religional Festival,based on Islamic calendar,2013-01-24,islamic
Republic Day,Government Holiday,fixed day in Gregorian calendar,2013-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2013-01-30,gregorian_fixed
Vivekananda Jayanti *Samvat,Religional Festival,"Magha, Krishna Saptami",2013-02-03,hindu_lunar
World Cancer Day,Good to know,fixed day in Gregorian calendar,2013-02-04,gregorian_fixed
Valentine's Day,Good to know,fixed day in Gregorian calendar,2013-02-14,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2013-02-19,gregorian_fixed
Guru Ravidas Jayanti,Religional Festival,"Magha, Shukla Purnima",2013-02-25,hindu_lunar
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2013-03-07,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2013-03-08,gregorian_fixed
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2013-03-10,hindu_lunar
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2013-03-13,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2013-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2013-03-23,gregorian_fixed
Holika Dahan,Religional Festival,"Phalguna, Shukla Purnima",2013-03-26,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2013-03-27,hindu_lunar
Good Friday,Religional Festival,based on Christian calendar,2013-03-29,other
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2013-03-30,hindu_lunar
Easter,Religional Festival,based on Christian calendar,2013-03-31,other
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2013-04-01,gregorian_fixed
Jhulelal Jayanti,Religional Festival,"Chaitra, Shukla Pratipada/Dwitiya",2013-04-11,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2013-04-14,other
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2013-04-19,hindu_lunar
Earth Day,Good to know,fixed day in Gregorian calendar,2013-04-22,gregorian_fixed
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2013-04-24,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2013-05-01,gregorian_fixed
World Laughter Day,Good to know,1st Sunday of May,2013-05-05,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2013-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2013-05-12,other
Surdas Jayanti,Religional Festival,"Vaishakha, Shukla Panchami",2013-05-15,hindu_lunar
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2013-05-23,islamic
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2013-05-25,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2013-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2013-06-05,gregorian_fixed
Maharana Pratap Jayanti,Religional Festival,"Jyeshtha, Shukla Tritiya",2013-06-11,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2013-06-16,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2013-06-21,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2013-06-23,hindu_lunar
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2013-07-10,hindu_lunar
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2013-07-22,hindu_lunar
Jamat Ul-Vida,Religional Festival,based on Islamic calendar,2013-08-02,islamic
Friendship Day,Good to know,1st Sunday of August,2013-08-04,other
Ramadan,Religional Festival,based on Islamic calendar,2013-08-08,islamic
Tulsidas Jayanti,Religional Festival,"Shravana, Shukla Saptami",2013-08-13,hindu_lunar
Independence Day,Government Holiday,fixed day in Gregorian calendar,2013-08-15,gregorian_fixed
Onam,Religional Festival,Sun in Simha & Shravana Nakshatra,2013-08-20,other
Krishna Janmashtami,Religional Festival,"Bhadrapada, Krishna Ashtami",2013-08-28,hindu_lunar
Teachers' Day,Good to know,fixed day in Gregorian calendar,2013-09-05,gregorian_fixed
Ganesh Chaturthi,Religional Festival,"Bhadrapada, Shukla Chaturthi",2013-09-09,hindu_lunar
Hindi Diwas,Good to know,fixed day in Gregorian calendar,2013-09-14,gregorian_fixed
Engineer's Day,Good to know,fixed day in Gregorian calendar,2013-09-15,gregorian_fixed
Autumnal Equinox,Religional Festival,Astronomy Event,2013-09-23,astronomy
Gandhi Jayanti,Government Holiday,fixed day in Gregorian calendar,2013-10-02,gregorian_fixed
Maharaja Agrasen Jayanti,Religional Festival,"Ashwina, Shukla Pratipada",2013-10-05,hindu_lunar
Maha Navami,Religional Festival,"Ashwina, Shukla Navami",2013-10-12,hindu_lunar
Dussehra,Religional Festival,"Ashwina, Shukla Dashami",2013-10-13,hindu_lunar
Madhvacharya Jayanti,Religional Festival,"Ashwina, Shukla Dashami",2013-10-14,hindu_lunar
Bakrid,Religional Festival,based on Islamic calendar,2013-10-15,islamic
Meerabai Jayanti,Religional Festival,"Ashwina, Shukla Purnima",2013-10-18,hindu_lunar
Karwa Chauth,Religional Festival,"Kartika, Krishna Chaturthi",2013-10-22,hindu_lunar
Narak Chaturdashi,Religional Festival,"Kartika, Krishna Chaturdashi",2013-11-02,hindu_lunar
Diwali,Religional Festival,"Kartika, Krishna Amavasya",2013-11-03,hindu_lunar
Govardhan Puja,Religional Festival,"Kartika, Shukla Pratipada",2013-11-04,hindu_lunar
Islamic New Year,Religional Festival,based on Islamic calendar,2013-11-05,islamic
Chhath Puja,Religional Festival,"Kartika, Shukla Shashthi",2013-11-08,hindu_lunar
Children's Day,Good to know,fixed day in Gregorian calendar,2013-11-14,gregorian_fixed
Guru Nanak Jayanti,Religional Festival,"Kartika, Shukla Purnima",2013-11-17,hindu_lunar
World AIDS Day,Good to know,fixed day in Gregorian calendar,2013-12-01,gregorian_fixed
Shortest Day of Year,Religional Festival,Astronomy Event,2013-12-21,astronomy
Merry Christmas,Religional Festival,fixed day in Gregorian calendar,2013-12-25,gregorian_fixed
English New Year,Religional Festival,first day of Gregorian calendar,2014-01-01,gregorian_fixed
Guru Gobind Singh Jayanti,Religional Festival,"Pausha, Shukla Saptami",2014-01-07,hindu_lunar
Tailang Swami Jayanti,Religional Festival,"Pausha, Shukla Ekadashi",2014-01-11,hindu_lunar
National Youth Day,Good to know,fixed day in Gregorian calendar,2014-01-12,gregorian_fixed
Lohri,Religional Festival,day before Makara Sankranti,2014-01-13,day_relative
Eid-e-Milad,Religional Festival,based on Islamic calendar,2014-01-14,islamic
Subhas Chandra Bose Jayanti,Government Holiday,fixed day in Gregorian calendar,2014-01-23,gregorian_fixed
Republic Day,Government Holiday,fixed day in Gregorian calendar,2014-01-26,gregorian_fixed
Gandhi Punyatithi,Government Holiday,fixed day in Gregorian calendar,2014-01-30,gregorian_fixed
World Cancer Day,Good to know,fixed day in Gregorian calendar,2014-02-04,gregorian_fixed
Valentine's Day,Good to know,fixed day in Gregorian calendar,2014-02-14,gregorian_fixed
Chhatrapati Shivaji Maharaj Jayanti,Government Holiday,fixed day in Gregorian calendar,2014-02-19,gregorian_fixed
Maharishi Dayanand Saraswati Jayanti,Religional Festival,"Phalguna, Krishna Dashami",2014-02-24,hindu_lunar
Maha Shivaratri,Religional Festival,"Phalguna, Krishna Chaturdashi",2014-02-27,hindu_lunar
Ramakrishna Jayanti,Religional Festival,"Phalguna, Shukla Dwitiya",2014-03-03,hindu_lunar
International Women's Day,Good to know,fixed day in Gregorian calendar,2014-03-08,gregorian_fixed
Chaitanya Mahaprabhu Jayanti,Religional Festival,"Phalguna, Shukla Purnima",2014-03-16,hindu_lunar
Holi,Religional Festival,"Chaitra, Krishna Pratipada",2014-03-17,hindu_lunar
Chhatrapati Shivaji Maharaj Jayanti,Religional Festival,"Chaitra, Krishna Tritiya",2014-03-19,hindu_lunar
Parsi New Year,Religional Festival,based on Parsi calendar,2014-03-20,parsi
Shaheed Diwas,Government Holiday,fixed day in Gregorian calendar,2014-03-23,gregorian_fixed
Gudi Padwa,Religional Festival,"Chaitra, Shukla Pratipada",2014-03-31,hindu_lunar
Bank's Holiday,Government Holiday,fixed day in Gregorian calendar,2014-04-01,gregorian_fixed
Rama Navami,Religional Festival,"Chaitra, Shukla Navami",2014-04-08,hindu_lunar
Mahavir Swami Jayanti,Religional Festival,"Chaitra, Shukla Trayodashi",2014-04-13,hindu_lunar
Baisakhi,Religional Festival,observed on Mesha Sankranti,2014-04-14,other
Good Friday,Religional Festival,based on Christian calendar,2014-04-18,other
Easter,Religional Festival,based on Christian calendar,2014-04-20,other
Earth Day,Good to know,fixed day in Gregorian calendar,2014-04-22,gregorian_fixed
Vallabhacharya Jayanti,Religional Festival,"Vaishakha, Krishna Ekadashi",2014-04-25,hindu_lunar
International Workers' Day,Good to know,fixed day in Gregorian calendar,2014-05-01,gregorian_fixed
World Laughter Day,Good to know,1st Sunday of May,2014-05-04,other
Rabindranath Tagore Jayanti,Government Holiday,fixed day in Gregorian calendar,2014-05-07,gregorian_fixed
Mother's Day,Good to know,2nd Sunday of May,2014-05-11,other
Hazarat Ali's Birthday,Religional Festival,based on Islamic calendar,2014-05-13,islamic
Buddha Purnima,Religional Festival,"Vaishakha, Shukla Purnima",2014-05-14,hindu_lunar
World No Tobacco Day,Good to know,fixed day in Gregorian calendar,2014-05-31,gregorian_fixed
World Environment Day,Good to know,fixed day in Gregorian calendar,2014-06-05,gregorian_fixed
Kabirdas Jayanti,Religional Festival,"Jyeshtha, Shukla Purnima",2014-06-13,hindu_lunar
Father's Day,Good to know,3rd Sunday of June,2014-06-15,other
International Yoga Day,Good to know,fixed day in Gregorian calendar,2014-06-21,gregorian_fixed
Jagannath Rathyatra,Religional Festival,"Ashadha, Shukla Dwitiya",2014-06-29,hindu_lunar
Guru Purnima,Religional Festival,"Ashadha, Shukla Purnima",2014-07-12,hindu_lunar
